name,content,score,at,appversion
Rishi Rajani,"Giving this game a 1⭐ because I frankly cannot give it 0; and the only reason is there are so many fraudsters on your Facebook trading group. You have such a flawed trading mechanism and no way to report these motherless cheaters. Not only that, but also you punish the victims who try to report these frauds on your Facebook group. Well done!",1,2023-08-21 02:35:10,1.8.0
Tanyshia Forehand,This game is really fun. You can attack your friends boards. But also get gifts from them for other things. There are always multiple events going on at the same time. It's really fun watching your millions go up to billions. Ah ha ha!,5,2023-08-21 02:34:55,1.8.0
Emma Sweeney,"Amazing game, especially because no adverts. I'm literally hooked",5,2023-08-21 02:34:38,1.8.0
Jerry Jimenez,Very fun,5,2023-08-21 02:33:57,1.8.0
Adam Vincent,"Pointless, waste of time",2,2023-08-21 02:33:31,
Michael Aderholt,Alright game good way to pass time,5,2023-08-21 02:33:28,1.8.0
Cathy Bergue,"Played twice for nuits a gnomebourg and seville. Thrice, for monaco",3,2023-08-21 02:30:56,1.8.0
nhlanhla hopee,"It's very fantastic and good Features,so relaxing and interesting game#",4,2023-08-21 02:30:47,1.8.0
KatyMarie Lyn,I love this game its so fun,5,2023-08-21 02:30:08,1.8.0
Ms quesha nachelle,love this game,5,2023-08-21 02:30:00,1.8.0
Victoria Mosher,It's fun to pass the time ngl.,4,2023-08-21 02:29:52,1.8.0
luqman (Rexxy),very happy bile can take revenge 🤣,5,2023-08-21 02:29:34,1.8.0
Sarjit Ch,Love it,5,2023-08-21 02:28:09,1.8.0
Marlené Eloff,It's good,5,2023-08-21 02:26:41,1.8.0
Shauna Not Kampa anymore,Seriously the finest game I have played in a while. I'm connecting all my friends and we are having a blast!!!,5,2023-08-21 02:26:32,1.8.0
Aaron Miller,❤️❤️❤️ Awesome,5,2023-08-21 02:25:43,1.8.0
Bryan Wong,垃圾游戏,1,2023-08-21 02:24:36,1.8.0
Denise Long,Fast paced game and very fun,5,2023-08-21 02:24:24,1.8.0
Missa Comstock,It's amusing,5,2023-08-21 02:23:33,1.8.0
Jordan Messerle,"Totally fun, especially when you're playing with family ^_^",5,2023-08-21 02:22:45,1.8.0
Mejdil Ahmetovic,Best,5,2023-08-21 02:19:41,1.8.0
Shanna Mills,I love this game it fun to play,5,2023-08-21 02:17:32,1.8.0
