name,content,score,at,appversion
Suqi Toolie,Enjoying the game.,5,2023-08-21 17:12:25,1.8.0
Mhike Amparado,Fun and exciting,5,2023-08-21 17:12:01,1.8.0
Tracey Faithfull,Fun. Good can play people around world and with friends.,5,2023-08-21 17:10:29,
Erica Stillion,Love it,5,2023-08-21 17:07:37,1.8.0
Jodi Bishop,Thus game is amazing! But the bad thing about it is you cannot trade gold cards which you should be able to do. Other than that there are no ads and it's a very addicting game I do recommend!,5,2023-08-21 17:07:04,
victor Famiyesin,Lovely,5,2023-08-21 17:05:16,1.8.0
Emily Lack,It's very odd how similar to board kings this is! I get Monopoly is an OG board game but board kings had it set up just like this in their app. Love me some Monopoly though. I'll just play both!,5,2023-08-21 17:04:50,1.8.0
Daniel Beaupre,You have to spend alot of money to get good prizes,3,2023-08-21 17:04:03,1.8.0
Brittany Whalen,Jjj,5,2023-08-21 17:03:29,1.8.0
ony raza,I love this game!!!,5,2023-08-21 17:02:03,1.8.0
Permila stalin Permila stalin,Very nice game,5,2023-08-21 16:56:10,1.8.0
Kyndal,I love this game,5,2023-08-21 16:53:20,1.8.0
Joshua Dunmore,"Love it, it's just like playing the board game",5,2023-08-21 16:51:31,1.8.0
Rachel Mann,Fun,5,2023-08-21 16:51:15,1.8.0
Sham Bam,Needs a way to turn off the animations and opening ads they are way too long and i end up just switching to tiktok and i click the weekly deals anyway making openingall 17 of them everytime i open the app pointless and aggravating,3,2023-08-21 16:49:10,1.8.0
Myron Alexander,Is fun and addicting especially with friends,5,2023-08-21 16:49:08,1.8.0
Michael glazer jr,Love it play game mgo,5,2023-08-21 16:47:14,
Akhilesh Saravanan,Scam,1,2023-08-21 16:46:23,
Ijam Nizham,1 whole hour just to get 5-8 rolls? Finished board wasting almost 1.8billion just to get 50dices? Come on man,1,2023-08-21 16:43:12,1.8.0
Jillian Cruickshank,Great game,5,2023-08-21 16:40:46,1.8.0
John Firth,"Interesting take on old game. Revenge smashing good. A few things are frustrating, like loosing all hotels for 1 spin wheel and get only 5 dice or 2 useless stickers. Difficult to get some 5 star stickers and can't trade golden ones...",4,2023-08-21 16:40:28,1.8.0
Annie Thrush,I love it,5,2023-08-21 16:40:07,1.8.0
Adrian Cartill a,Nc,4,2023-08-21 16:35:55,1.8.0
Angelo Haylom,"This Game Is...Amazing I Love It! Building Towns, And More! Their Ads Didn't Lie About All This, FUN!",5,2023-08-21 16:32:35,1.8.0
Fon Randy,Really awesome,4,2023-08-21 16:29:06,1.8.0
Meikato Crk,Mantap,5,2023-08-21 16:25:04,1.8.0
Steve Osment,"Fun and addictive! New here, so we'll see how it goes !",4,2023-08-21 16:23:50,1.8.0
syawani azhan,okaylah,5,2023-08-21 16:22:19,1.8.0
SHANU NAIR,Love it 😀,5,2023-08-21 16:21:46,1.8.0
Chanelle Coetzee,I love it,5,2023-08-21 16:19:49,1.8.0
Dawayne Raines,Same stickers it's crazy it is getting old fast,1,2023-08-21 16:14:36,1.8.0
Lila Johnson,Love it,5,2023-08-21 16:11:22,1.8.0
Fanica-Laura Lolot,"I played the game installed from Swagbuck, reach Board 8 and I did not receive any SB. For bord 5 I should receive 100 SB.",1,2023-08-21 16:10:32,1.8.0
jeremie Bransley,top,5,2023-08-21 16:10:03,1.8.0
jan b,Love it 😀,5,2023-08-21 16:08:32,1.8.0
GAME MASTER Evil,Love it,5,2023-08-21 16:06:57,1.8.0
Sampai Sandah,Really interesting game,5,2023-08-21 16:04:05,1.8.0
WeInDa “TuffKevBrawls” StReEtSFrFr,Rly good brotha👍,4,2023-08-21 16:02:09,1.8.0
Ben Northon,Fun game . And make level stress up haha,5,2023-08-21 15:59:39,1.8.0
sis short,"it's a great game but i think a room for improvement is that the part where we collect tokens on the tiles, currently it's the flag one. i think when the timer runs out and one has collected so much of it yet didn't have enough time to complete the course, i think it would be great if you compensate those extra tokens with something like money or dice rolls as it would be very devastating for someone to collect so much but end up couldn't achieve the reward due to time constraints.",3,2023-08-21 15:55:11,1.8.0
Jane Lancaster,Why didn't Stanley get his 100 rolls .I only joined because he invited me,3,2023-08-21 15:54:57,1.8.0
Vincenzo,"Zero strategy... you only roll and collect. It's a well polished, boring, money grab.",2,2023-08-21 15:54:51,1.8.0
Osbs Ndiwbd,Its gun,5,2023-08-21 15:47:36,1.8.0
Lyssa Edwards,Good,5,2023-08-21 15:46:25,1.8.0
Daniel Williams,Fun to play,5,2023-08-21 15:46:11,1.8.0
Hunter Craft,Impossible to get shields.,2,2023-08-21 15:41:29,1.8.0
Wan Syakinah,We need more dice.. please reduce giving us more duplicate of gold card as we cant trade it.,1,2023-08-21 15:36:34,1.8.0
Tony Pace,Fun fun in a bun,5,2023-08-21 15:36:02,1.8.0
Timothy Hughes,This is a really fun game! You should try it out! 👍,5,2023-08-21 15:35:48,1.8.0
Hazlee Lee,best,5,2023-08-21 15:34:19,1.8.0
Lily Anne Xeandra,Game is fun. I reached level 2.1k BUT I LOST MY PROGRESS EVEN THOUGH I LINKED IT TO MY FACEBOOK ACCOUNT. I contacted customer service but still haven't got any reply. I almost hate this apps.,1,2023-08-21 15:33:02,1.8.0
James Pirtle,I'm trying to get the best of my game for days and days ame play face on .it's ok with me but no really I'm not trying to play with game boards but it was my only choice to pi,3,2023-08-21 15:32:11,1.8.0
Jennikuh,Fun game until you need cards and no one will help you. Just becomes very stressful. Don't bother.,1,2023-08-21 15:30:10,1.8.0
Johnlloyd Tullao,Cool game i love it!!,5,2023-08-21 15:27:46,1.8.0
Lance Rogers,Very cool game,5,2023-08-21 15:24:59,1.8.0
Raaziyah Palm,Love the game. Just give us more stickers we need,5,2023-08-21 15:21:54,1.8.0
Nikki Holland,AWESOME!!?,5,2023-08-21 15:18:35,1.8.0
Jamie Wright,"Wouldn't waste your time. My progress got reset from my net worth being well over 4,000 and had to restart. All I get back from contacting support is being told to connect back to facebook which I have multiple times.",1,2023-08-21 15:17:15,1.8.0
Christiana Folson,Just started so can't say much. Let's see how it's goes,3,2023-08-21 15:13:33,1.8.0
Christopher Di Carlo,"It is genuinely very hard to find good free games like this. No ads, other than the occasional pay to win offer (which in this it's not even a bad thing). Great graphics, fun repetitive gameplay. It's really good to just sit back and waste some time and get the endorphins firing in the brain.",5,2023-08-21 15:12:40,
Divya Rathish,Simply Superb,5,2023-08-21 15:04:55,1.8.0
Paradise Island Candle's,I love this game,5,2023-08-21 15:02:54,1.8.0
Ravindu Chathuranga,Never enjoyed Monopoly this much. Love it,5,2023-08-21 15:01:06,1.8.0
Andrea J Milenkovich,Fun,5,2023-08-21 14:59:09,1.8.0
Junior,Is very fun to play,5,2023-08-21 14:55:01,1.8.0
That dude Mike,"This is an addictive game , you can lose hours playing . The only reason I don't give 5 stars is because even though you can add friends you can't help them by sending them gifts .",4,2023-08-21 14:52:50,1.8.0
Justin,BEST GAME EVER (gimmr 999999999999999999999 dice pls),5,2023-08-21 14:46:50,1.8.0
Joseph Bartolo,It's a very simple and nice game :))),5,2023-08-21 14:44:43,1.8.0
Streeter James Blowers,Great game to earn $!!!!,5,2023-08-21 14:44:13,1.8.0
Douglas Skinner,"Its really basic and mindless. Each level is played exactly the same and really nothing like the board game. It's greatly disappointing, unless you like mindless gaming.",2,2023-08-21 14:37:18,
Lisa Kibbe,Love it,5,2023-08-21 14:36:37,1.8.0
haissam antar,في اول الأمر احببت هذه اللعبة جدا… ولكن مع الوقت اصبحت تعطيك ملل للانتظار من الملصقات. واعطاء غيرك ما تريده واعطائك ما يريدونه.. اصبح يوجد كذب فيها,2,2023-08-21 14:35:58,1.8.0
Lovely Nichole,Amazing,5,2023-08-21 14:35:43,1.8.0
Outlaw 9020,Very fun and addictive haha,5,2023-08-21 14:31:56,1.8.0
Ellia Rafizal Fred,Good 🤩🤩🤩,5,2023-08-21 14:28:32,1.8.0
kick buttowski,what the point having gold sticker if you can't trade it. it's getting annoying when all i get is the same gold sticker and the dice fill up time is really long.. well it's pay to win game 😒,3,2023-08-21 14:28:22,1.8.0
Ussaini Shehu,It was great and very exciting,5,2023-08-21 14:27:56,1.8.0
Marlene Coulter,Love it,5,2023-08-21 14:25:29,1.8.0
Mariah Olivo,Love it. Just like coin master,5,2023-08-21 14:23:28,1.8.0
Niftey YT,Very fun to play,4,2023-08-21 14:19:49,1.8.0
AlhxKimiEditing,This game is great,5,2023-08-21 14:19:31,1.8.0
Becky McBeth,"Last week, there were technical issues,which resulted in me not being able to play and losing money and landmarks getting destroyed. Scopely decided to compensate people but in a very unfair way. Some people were given pink sticker packs and 200 dice ,but others like myself who played daily and spent money on the game were given 25-30 dice, which is unfair. Also, not being able to trade gold stickers sucks when all you get is duplicates of what you already have. Been waiting on 1 gold sticker.",2,2023-08-21 14:18:40,1.8.0
Jennibeth Tayson,Enjoyin the game so far,5,2023-08-21 14:15:08,1.8.0
Landreya Schaefer,Really fun,5,2023-08-21 14:13:35,1.8.0
shane algabri,its addictive,5,2023-08-21 14:12:02,1.8.0
Queen Okunmayowa,"The game is nice but a waste of time people shouldn't bother, you get the same stickers the game makes it VERY DIFFICULT to finish any sets rubbish",1,2023-08-21 14:11:47,1.8.0
Bipul Kumar,I 💖 it,5,2023-08-21 14:11:23,1.8.0
the don,Best game,5,2023-08-21 14:07:56,1.8.0
John Melton,It's fun and addictive,5,2023-08-21 14:05:59,1.8.0
Syikin Wanzul,I love this game,5,2023-08-21 14:05:22,1.8.0
K&J Nation,"I like the game, although I must say it gets annoying to have to wait an hour to 8 dice. I understand is no difference then say Candy Crush , having to wait a time to get a life but they're to separate games with different lay outs etc. Gold stickers should be able to be traded as well as not having so many duplicates back to back. From my understanding after adding a certain amount of friends, you get ""capped"" and it's even harder to get the in game free dice. I enjoy playing though.",4,2023-08-21 14:05:16,
Claudia Ashford,Awesome game love it,5,2023-08-21 14:04:54,1.8.0
Melvin Ruth,The higher you get you have to spend money if you want to play. I don't understand the sticker part of the game. It's stupid.,2,2023-08-21 14:03:01,1.8.0
Bernadette Villarreal,I am barely on London and so far I have not had any problems with it but London is only the second country,5,2023-08-21 14:01:33,1.8.0
Eric Woodman,Good fun,3,2023-08-21 14:01:30,1.8.0
Jequitia Brown,Very fun don't ask for money 💵,5,2023-08-21 14:00:20,1.8.0
Ava Barnes-Rodil,Very nice game,5,2023-08-21 13:59:54,1.8.0
mohdajez mdaziz,pls dont give limit,5,2023-08-21 13:58:10,1.8.0
Bilma Viloria,"your game is so good,and the design too.",5,2023-08-21 13:53:25,1.8.0
Jeson&alfera Alfera,Good,5,2023-08-21 13:52:50,1.8.0
Carolyn Starnes,I love 💕💕💕 playing it all the time 🙏🙏🙏 especially with other people's.,5,2023-08-21 13:51:27,1.8.0
Marisol Bucasas,Great game,5,2023-08-21 13:51:23,1.8.0
Sandra Gillman,Good,4,2023-08-21 13:50:50,1.8.0
ARIFUDDIN ANJANI,"full of bug, friendlist not showing, other friend already moving other map but in my device still showing old map of friends (infinity shield bug)",1,2023-08-21 13:50:07,1.8.0
Glenn Turner,Amazing,5,2023-08-21 13:48:39,1.8.0
Karisha Lewis,"I LOVE Monopoly the board game, but I can't ever get anyone to play with me lol!! So I'm BEYOND glad that this game was created!!",5,2023-08-21 13:45:59,1.8.0
Tammy B,Love it! Trying to collect cards is a challenge.,5,2023-08-21 13:44:21,1.8.0
Mr Wan,Bagi lah sticker gold card pleasee,5,2023-08-21 13:41:26,1.8.0
Leo Abustan,Enjoyable,5,2023-08-21 13:39:15,1.8.0
Michele Booth,💜,5,2023-08-21 13:37:48,1.8.0
Amar Saxena,Enjoying the game,5,2023-08-21 13:35:48,1.8.0
VeeVee,"Love it,so much fun for me kids and grandkids.",5,2023-08-21 13:35:43,1.8.0
Suppamal Muniandy,like it,5,2023-08-21 13:34:45,1.8.0
Brittany Aldridge,Good,5,2023-08-21 13:33:32,1.8.0
Intan Shafiqah,Best addicted game ever,5,2023-08-21 13:31:05,1.8.0
Kaede Pattison,Nice,5,2023-08-21 13:30:41,1.8.0
John Brocks,I play this game every day,5,2023-08-21 13:30:13,1.8.0
Robert Ramey,Monopoly is always a fun game,5,2023-08-21 13:27:28,1.8.0
Dreama Guzman,Love it..but can't watch videos to earn rolls and only get rolls every 8 hours..,5,2023-08-21 13:27:18,1.8.0
Rams Santos,It's so fun,5,2023-08-21 13:25:40,1.8.0
Thomas Adams (Tra),Fun,5,2023-08-21 13:23:41,1.8.0
Arya Gokhale,Can't get 5 ⭐ cards,1,2023-08-21 13:20:16,1.8.0
Tonya Floyd,I love it,5,2023-08-21 13:17:46,
Zakivl Mohd,Its fun,5,2023-08-21 13:16:26,1.8.0
Jean-Ray Scholtz,You get Alot of exstra cards but dont get any New cards or Gold cards to make yoir album finished i am so closr to delte this game,1,2023-08-21 13:14:17,1.8.0
aiman aqil,So happy,5,2023-08-21 13:10:45,1.8.0
Wanda Lumpkin,"I love the game, but the big drawback is how long it takes to generate dice for the game. You have to wait almost all day to get your dice full again.",4,2023-08-21 13:10:38,1.8.0
Boss Hogg,Love it,5,2023-08-21 13:08:26,1.8.0
Nurain Shazwani,"TOO HARD TO GET STICKERS. TOO HARD. VERY HARD TO GET. ALWAYS GIVE DUPLICATES, ALWAYS... HOPE U WILL MAKE MINI GAMES TO GET GOLD STICKER. OR EXCHANGE DUPLICATE GOLD STICKER TURN INTO DICE.",3,2023-08-21 13:05:41,1.8.0
Tumelo Morake,This is so addictive 😁,5,2023-08-21 13:04:51,1.8.0
A Google user,Lots of fun playing with friends,5,2023-08-21 13:03:46,1.8.0
Abba Bashir,"It's a really nice gams I enjoy playing it a lot but the problem is why can't you trade ""GOLD CARDS"" It will really be highly appreciated if the developers would help with this upgrade",4,2023-08-21 13:03:22,1.8.0
Tami Lopez,Fun game,5,2023-08-21 13:00:49,1.8.0
Lee Ethridge,"Good, I really enjoy the this game.",4,2023-08-21 13:00:30,1.8.0
Lucas Mason,No Google Play and if you want to sign in you have to use Facebook. If they let me sign in with Google Play then maybe I'll try it.,1,2023-08-21 12:59:24,1.8.0
jai legacy,nice game,5,2023-08-21 12:58:30,1.8.0
shameka johnson,👍🏿,5,2023-08-21 12:56:56,1.8.0
Lauri Hageman,"This game is a lot of fun! I'm not of fan of the board game, but this one will keep you entertained. I just have 2 things that keep me from rating higher: 1) The games freezes/lags several times while I'm playing. Earlier it completely froze while I was trying to roll to get out of jail. 2) The amount of duplicate stickers collected is insane! It makes it way too difficult to complete each album. Also, either the gold frames should be tradable, or not have duplicates collected.",3,2023-08-21 12:56:10,1.8.0
Lydia Collins,It's fun,5,2023-08-21 12:51:47,1.8.0
Faye Smith,"This game is not fun at all anymore. The packs suck, you can't trade gold stickers. They make it hard to get dice and 5 star cards. The higher you go in the game the worse it gets. It's expensive to upgrade landmarks. I could go on. Do better!!!",1,2023-08-21 12:50:04,1.8.0
The Zombie Nerd,"After hearing everybody saying how fun it is, I decided to give it a try! I LOVE IT!!",5,2023-08-21 12:46:57,1.8.0
Mohd Firdhaus,Best,5,2023-08-21 12:46:43,1.8.0
Noel Russel,Ok,5,2023-08-21 12:45:33,1.8.0
diane farr,Nice game,5,2023-08-21 12:45:19,1.8.0
Anthony Urban,Fun,5,2023-08-21 12:43:45,1.8.0
Matthew Garcia,Goooooooooood,5,2023-08-21 12:42:47,1.8.0
Dawn White,Fun,5,2023-08-21 12:40:38,1.8.0
jamie albanese,Love it soooo much can not stop playing,5,2023-08-21 12:37:14,1.8.0
Sammie Walker,mom siep mom. play it all the taem,5,2023-08-21 12:35:42,1.8.0
Devin Hall,Not better then coin master but it's good,5,2023-08-21 12:35:10,1.8.0
Danielle Wolfe,Great game i think everyone should play,5,2023-08-21 12:34:50,1.8.0
Zoe Chu,Nice,5,2023-08-21 12:33:08,1.8.0
Montishi Jones,Very relaxing 😎,5,2023-08-21 12:31:29,1.8.0
Jennifer Ames,"So far, fun game!",5,2023-08-21 12:29:46,1.8.0
Kristin Jackson,"Honestly pretty boring. I was expecting something more fun with it being monopoly, especially with all the ads I've seen promoting it, but this is just boring & didn't keep my attention or interest very long.",1,2023-08-21 12:28:27,
Char Myers,Great game very fun,5,2023-08-21 12:26:10,1.8.0
Laura Thomas,This is fun! Sometimes you win some and sometimes you loose some.,5,2023-08-21 12:23:47,1.8.0
Shahrul Nizam,good game,5,2023-08-21 12:20:08,
Zyaire,GG,5,2023-08-21 12:18:24,1.8.0
Matthew Dakan,This game is amazing!!!!,5,2023-08-21 12:18:02,1.8.0
Mike Corleone,"Pay to play. It's that simple. If you got the money to spend, you'll have fun. Make sure you're caught up on your bills because it costs a lot to buy dice. Cool game if you have thousands to spend. There is also no way to control your playing. Everything is fixed. There's no way to tell if your rolls or moves do anything at all. It's all fixed. Trust me. Edit: I've uninstalled the game. All it does is lure you in to spend money. They do a really good job trying to get you to bite. By Monopoly",1,2023-08-21 12:16:08,1.7.0
MuTed CapTain,Best game ever,5,2023-08-21 12:16:01,1.8.0
Tyler Galyean,"Its fun, but feel like it's gonna want me to spend a lot of money to roll",5,2023-08-21 12:15:48,1.8.0
TJ Hartman,So fun!!,5,2023-08-21 12:14:50,1.8.0
Khairul Nizam Bin Mansor,Love it,5,2023-08-21 12:13:23,
Josiah Williams,It's a good game to play,5,2023-08-21 12:12:08,1.8.0
Martha,And watch out for danger here. This app tries to take over your a phone. At least that's what I did To mine,1,2023-08-21 12:09:28,
Mulyati Sangkala,Good,5,2023-08-21 12:09:20,1.8.0
Pankaj Kumar,"The game was interesting at first, but then you get duplicate stickers which sucks and it feels like it's a cash grab tricks",1,2023-08-21 12:08:52,1.8.0
leland lutes,Great,5,2023-08-21 12:06:30,1.8.0
Linda Barnard,Fun,5,2023-08-21 12:06:08,1.8.0
salim Cameron,Great time killer 👍,5,2023-08-21 12:05:27,1.8.0
Joe Ragner Jr,Love the game it is so addicting,5,2023-08-21 12:00:38,1.8.0
Rebecca Smith (Bee),Fun,5,2023-08-21 12:00:27,1.8.0
blazin' hazell,Fun times,5,2023-08-21 12:00:12,1.8.0
Antinette Gougisha,It's fun takes a while to build money tho,5,2023-08-21 11:59:43,1.8.0
Husky Dog,Very fun game. Worth downloading,5,2023-08-21 11:56:29,1.8.0
Dan Martinez,Ok,5,2023-08-21 11:56:04,1.8.0
Makel Macon,it's awesome 😀,5,2023-08-21 11:54:04,1.8.0
Zukhrif Mazlan,Unfair. Harassment to minority. Got robbed from 98M to 300k money. Best solution is uninstall,1,2023-08-21 11:46:42,1.8.0
Joey,An all around great game.,5,2023-08-21 11:45:48,1.8.0
tabitha dragonsong,Really lots of fun! 😁,5,2023-08-21 11:44:19,1.8.0
Stacey Lasham,"It will not let me get on the app! I have uninstalled and re installed on 3 devices but still nothing. I will want full refunds for any purchases if I cannot get back on it in today! Thanks for the reply but I would like to know why some users got compensated with rolls, card packs etc and some like myself didn't get anything?",1,2023-08-21 11:44:18,1.8.0
Migara Fernando,Good,5,2023-08-21 11:42:39,
alandus adair,super fun,5,2023-08-21 11:39:48,1.8.0
Audrey K,It's cool.,1,2023-08-21 11:39:36,1.8.0
hasan ali,So addictive,4,2023-08-21 11:38:45,1.8.0
Misti Cooper,Love it!,5,2023-08-21 11:32:08,1.8.0
Connie,Yup,5,2023-08-21 11:31:20,1.8.0
Scott Drovdal,Great time waster,5,2023-08-21 11:28:08,
Rosa Rodriguez,Really fun playing with friends,5,2023-08-21 11:27:57,1.8.0
Kell Austin,Addicted,5,2023-08-21 11:27:36,1.8.0
Joe Gonzales,I love the game,5,2023-08-21 11:26:05,1.8.0
Joan Aragon,It's fun,4,2023-08-21 11:25:42,1.8.0
Robert Walton,"i like it other than the fact that you can't trade the gold cards in, and it makes it almost impossible to get some of the gold cards.",5,2023-08-21 11:24:32,1.8.0
Christina Melanson,Decent time waster so far.... 👍,5,2023-08-21 11:24:07,1.8.0
Snake Leader,"Fun, not too bad on ads or purchases",5,2023-08-21 11:23:44,1.8.0
Josie bernal Rizo,Awesome but we need more challanges like the build a car,5,2023-08-21 11:20:51,1.8.0
Nancie Havard,Funnnnnnnnnn😍😍,5,2023-08-21 11:20:35,1.8.0
Muhd Sauffi,best,5,2023-08-21 11:19:58,1.8.0
Shelly Hatcher,I love monopoly the board game so i had to try this. I like all the things you can do.,4,2023-08-21 11:17:49,1.8.0
King Xero,Fun to atk friends,5,2023-08-21 11:16:19,1.8.0
Avril Harrison,I like it because you can play with other people around the world,5,2023-08-21 11:14:46,1.8.0
Dana Howell,fun game even if you're not a gamer,5,2023-08-21 11:14:20,1.8.0
Glynda Jackson,"I like the game, what I don't like is keep getting the same cards hard to complete an album.",5,2023-08-21 11:14:00,
Joey Burton,Graphics are great and fun to play.,5,2023-08-21 11:12:02,1.8.0
Yee Pin Goh,I like how the game has no advertisement and the graphic is so on point! Everything is so fun and I just enjoy playing it 😎,5,2023-08-21 11:12:00,1.8.0
Andre Austin,👌🏾,5,2023-08-21 11:12:00,1.8.0
Fitz Gabriel Arroyo,Give me my last 2 gold stickers please i want to play,3,2023-08-21 11:10:47,1.8.0
Joeanies Jusin,when have free time..this game also nice to play,5,2023-08-21 11:09:25,1.8.0
Jeff Melvin,Good,5,2023-08-21 11:09:07,1.8.0
Andrea Lang,This game is fun except you get the same stickers it doesn't give you enough time or days to finish tournament and it's hard as he'll to get new tokens,5,2023-08-21 11:07:56,1.8.0
Lucas Baird,Good,5,2023-08-21 11:07:56,1.8.0
Aaron Deibler,Its funn and funnn,5,2023-08-21 11:07:16,1.8.0
Sherrell Sutton,Great!,5,2023-08-21 11:04:45,
Dee Snyder,Love it,5,2023-08-21 11:04:14,1.8.0
Shanda Robinson,"Just wish I knew when, I can buy, sell, or if someone land on my property. Thx",3,2023-08-21 11:02:22,1.8.0
ALIYU MUHAMMAD,That's was very nice game,5,2023-08-21 11:00:40,1.8.0
James Stingley,I love it,5,2023-08-21 11:00:03,1.8.0
Andre Andre,I love it,5,2023-08-21 10:58:00,1.8.0
AndrianaLee Cstoire,This game is very fine I'm going to do recommend it You could play with your friends your family members and it's really fun it's already doing recommend this game it keeps you entertained for hours on end,5,2023-08-21 10:57:17,1.8.0
Debbie Guevara,It's fun that's all I know no problems,5,2023-08-21 10:54:59,1.8.0
Leon Miller lll,Fun .,4,2023-08-21 10:52:29,1.8.0
Jan Trell,Exciting,5,2023-08-21 10:51:49,1.8.0
Jaci Daley,Lots of fun,5,2023-08-21 10:51:28,1.8.0
Kizzy Chong,I like it,5,2023-08-21 10:50:56,1.8.0
Haura Haziq,"I want sticker, sniffing around, feeling goat, treasured memories, miss priss",5,2023-08-21 10:49:44,1.8.0
Phool Chand,A),4,2023-08-21 10:49:40,1.8.0
Natasha Fairfax,Game keeps freezing and shutting down. Update game no longer freezes but as we level up we should get more dice for completing a village. Only 50 since the beginning is ridiculous. So I will keep it at 4 will go lower if something ain't different as we level up since it takes more money and dice to finish,4,2023-08-21 10:48:51,1.8.0
Manney Merifield,Awesome game,5,2023-08-21 10:47:19,1.8.0
Amber Shafer,I love it !!!!,5,2023-08-21 10:47:01,1.8.0
Ladyy Lovexx,Love this game . Only afee complaints that keep it from getting 5 stars. 1. 8 dice a hour and capped at 80 males it difficult to complete events. 2. Gold cards being non tradable sucks! Everything else is cool . Good way to pass time. Also a great game for all ages,4,2023-08-21 10:46:59,1.8.0
Danielle Woodard,So much fun,5,2023-08-21 10:45:16,
Nicole Roberts,It's fun,4,2023-08-21 10:43:34,
Donna McWilliams,Love it 😀,5,2023-08-21 10:42:11,1.8.0
Willie Whitfield,Cool,5,2023-08-21 10:38:49,1.8.0
Patrice Hudson,Lots of fun,5,2023-08-21 10:38:06,1.8.0
Khim Ryan Sombrio,ok,4,2023-08-21 10:37:05,1.8.0
Tyler Stewart,I love it,5,2023-08-21 10:35:53,1.8.0
Lyrical Rae,Really Cool Game! The Graphics are awesome!,5,2023-08-21 10:35:43,1.8.0
Tayvinn Scott,👍🏾👍🏾,5,2023-08-21 10:35:38,1.8.0
nxbv 16,it's very fun to play with friends,5,2023-08-21 10:35:09,
John Paul Ballejo,Improve the trading system so that there will be no scamming happens. Make event that gold cards can be tradable with even at least 1 day or 2 days.,4,2023-08-21 10:33:53,1.8.0
Isaac Hayes,Great,5,2023-08-21 10:33:33,1.8.0
sharlina Musah,Love it so much but I don't like waiting 1 hour for few dice 😵 This start to get boring.,1,2023-08-21 10:32:55,1.8.0
Courtney Thomas,It was ok at first but I don't like the fact I'm constantly getting attacked by two people that does not show up on the leadership board. I keep getting the same stickers and it's too hard to get someone to trade. It's not enough dice given. I am close to just deleting it.,1,2023-08-21 10:32:31,1.8.0
Michael Johnson,I love this game,5,2023-08-21 10:31:16,1.8.0
Shay,"This app freezes up a lot on my android. i can't speak for iPhone users. Also, i never played a game where I couldn't complete a book of stickers like this one. Then they tell you to join their Facebook group, which no one helps, or we all still need the same stickers to complete our book. Play at your own risk it can be addictive.",3,2023-08-21 10:30:16,
Luaherry Spears,I love this game....💗💗💗,5,2023-08-21 10:29:58,1.8.0
TeamEast Marrion,Love it,5,2023-08-21 10:29:38,1.8.0
Cody Moody,Great for passing the time!,4,2023-08-21 10:26:43,1.8.0
Tabatha Miller,"Fun, entertaining",5,2023-08-21 10:24:27,1.8.0
Emily Justiniano,"Fun game, but it doesn't have the option to safe trade stickers. Beware of people trying to persuade you to buy or convince you to send first your stickers. After few levels the game slows down because things are expensive y take more time to buy, if you don't invest real money, can be hard to play in the long run.",2,2023-08-21 10:24:06,1.8.0
Alivia Hicks,This game helps me relax and forget about everything that's been stressing me out,5,2023-08-21 10:23:41,1.8.0
Amenuddin Mohd Nizam,So hard to get the sticker that i want also no xtra 4 star and 5 star to swap always got the 1-3 stars,3,2023-08-21 10:22:15,1.8.0
J Cooks,Definitely better than Coin Master! Fun fun fun,5,2023-08-21 10:21:17,1.8.0
Brenda Toomer,It's a ok game but are we gonna be able to trade gold cards for once or what cuz it's getting bored,4,2023-08-21 10:19:50,1.8.0
Smokey1845,Got hooked as soon as I started playing it.,4,2023-08-21 10:17:52,1.8.0
Carrie Lubiniecki,Having fun. Building cities and collecting money.,5,2023-08-21 10:17:34,1.8.0
Scott Pedro,May i play amongst the pros?,4,2023-08-21 10:17:25,1.8.0
Chi rhou Ooi,"It's easy to play and can meet with many kind friends when exchabge the cards. The only problem is maybe my phone not that supportive to this game, sometimes it lag or crash",3,2023-08-21 10:16:48,1.8.0
Michael Booher,Awesome game! Love the little-ness feeling of the game,5,2023-08-21 10:16:38,1.8.0
Umbrin,This is highly addicting!,5,2023-08-21 10:14:52,1.8.0
kenny smith,"It can be a fun game but micro transactions are so expensive and the cost can change from player to player. Same package is cheaper on my account and more expensive on my wife's account for less dice, packs and etc. Feels like they are making it more expensive depending if that person has a habit of purchases. Shady.",3,2023-08-21 10:14:22,1.8.0
Grace Gutshall,I love this game hands down! Would be nice if we could trade gold star cards with our contacts or Facebook friends. Also need more dice.,4,2023-08-21 10:11:53,1.8.0
Matthew Anderson,Fun game to play...,5,2023-08-21 10:09:51,1.8.0
Michael Hutchins,Awesome game,5,2023-08-21 10:08:58,1.8.0
Elizabeth,Was ok til it stopped working on my phone! and you should be able to get more dice if you get rid of more cards.,3,2023-08-21 10:08:30,
Ash The Stampede,Fun. Entertaining.,5,2023-08-21 10:07:50,1.8.0
Janelle Cheeseborough,I love playing this game!,5,2023-08-21 10:07:46,1.8.0
Vanessa Goudy,"My cousin sent me this game, and we are playing together it's fun, I REALLY ENJOY IT",5,2023-08-21 10:07:34,1.8.0
Typhanie Stallings,Love this game! However I have been stuck for a week and half now with barely anything to play. I did spend a little bit of money on it in the past but now refuse to and am contemplating deleting the game only due to only getting to play the rolls I earn after sleeping and how I never get dice for friends being added. I feel like this game should work on this a little. I understand every now and then not being able to roll but for over a week barely anything. Do we get to trade golds tomorrow?,3,2023-08-21 10:07:10,1.8.0
